Time,LeftDuration,RightDuration,TotalDuration,Resource
"8/1/17, 8:00 AM",20,0,50,Eat
"8/1/17, 12:00 PM",22,10,50,Eat
"8/1/17, 7:00 PM",13,13,50,Eat
"8/1/17, 12:00 AM",,,470,Sleep
"8/1/17, 9:00 AM",,,170,Work
"8/1/17, 1:00 PM",,,350,Work
"8/1/17, 8:00 PM",,,230,Work
"8/5/17, 12:15 AM",22,7,29,Nursing
"8/5/17, 2:43 AM",13,19,32,Nursing
"8/5/17, 5:00 AM",19,21,40,Nursing
"8/5/17, 9:01 AM",12,27,39,Nursing
"8/5/17, 11:30 AM",20,8,28,Nursing
"8/5/17, 2:04 PM",10,20,30,Nursing
"8/5/17, 4:16 PM",19,4,23,Nursing
"8/5/17, 7:30 PM",10,20,30,Nursing
"8/5/17, 10:28 PM",16,9,25,Nursing
"8/6/17, 1:01 AM",11,18,29,Nursing
"8/6/17, 3:39 AM",21,14,35,Nursing
"8/6/17, 5:59 AM",0,15,15,Nursing
"8/6/17, 6:52 AM",16,0,16,Nursing
"8/6/17, 9:07 AM",18,20,38,Nursing
"8/6/17, 10:59 AM",19,6,25,Nursing
"8/6/17, 2:49 PM",11,24,35,Nursing
"8/6/17, 5:00 PM",22,3,25,Nursing
"8/6/17, 8:42 PM",0,16,16,Nursing
"8/6/17, 11:01 PM",20,13,33,Nursing
"8/7/17, 12:57 AM",5,17,22,Nursing
"8/7/17, 3:49 AM",26,12,38,Nursing
"8/7/17, 5:37 AM",12,25,37,Nursing
"8/7/17, 8:51 AM",19,10,29,Nursing
"8/7/17, 12:02 PM",0,20,20,Nursing
"8/7/17, 3:14 PM",15,10,25,Nursing
"8/7/17, 5:47 PM",13,15,28,Nursing
"8/7/17, 8:08 PM",15,12,27,Nursing
"8/7/17, 10:16 PM",12,16,28,Nursing
"8/8/17, 1:17 AM",16,15,31,Nursing
"8/8/17, 5:19 AM",16,17,33,Nursing
"8/8/17, 6:46 AM",19,0,19,Nursing
