Time,LeftDuration,RightDuration,TotalDuration,Resource
"8/4/17, 12:08 PM",,,32,Sleep
"8/4/17, 1:50 PM",,,116,Sleep
"8/4/17, 6:51 PM",,,84,Sleep
"8/4/17, 8:39 PM",,,46,Sleep
"8/4/17, 9:45 PM",,,150,Sleep
"8/5/17, 1:45 AM",,,29,Sleep
"8/5/17, 3:50 AM",,,60,Sleep
"8/5/17, 5:50 AM",,,85,Sleep
"8/5/17, 7:45 AM",,,76,Sleep
"8/5/17, 11:05 AM",,,23,Sleep
"8/5/17, 12:00 PM",,,76,Sleep
"8/5/17, 1:30 PM",,,38,Sleep
"8/5/17, 3:15 PM",,,32,Sleep
"8/5/17, 4:42 PM",,,162,Sleep
"8/5/17, 8:05 PM",,,42,Sleep
"8/5/17, 8:56 PM",,,88,Sleep
"8/6/17, 12:02 AM",,,58,Sleep
"8/6/17, 1:20 AM",,,9,Sleep
"8/6/17, 1:42 AM",,,116,Sleep
"8/6/17, 4:08 AM",,,42,Sleep
"8/6/17, 5:30 AM",,,29,Sleep
"8/6/17, 6:15 AM",,,28,Sleep
"8/6/17, 7:08 AM",,,112,Sleep
"8/6/17, 11:31 AM",,,21,Sleep
"8/6/17, 12:02 PM",,,163,Sleep
"8/6/17, 5:38 PM",,,181,Sleep
"8/6/17, 9:26 PM",,,93,Sleep
"8/6/17, 11:40 PM",,,65,Sleep
"8/7/17, 1:25 AM",,,135,Sleep
"8/7/17, 6:18 AM",,,151,Sleep
"8/7/17, 10:30 AM",,,89,Sleep
"8/7/17, 12:35 PM",,,54,Sleep
"8/7/17, 3:46 PM",,,113,Sleep
"8/7/17, 6:10 PM",,,79,Sleep
"8/7/17, 9:30 PM",,,6,Sleep
"8/7/17, 10:48 PM",,,147,Sleep
"8/8/17, 2:10 AM",,,130,Sleep
"8/8/17, 7:05 AM",,,115,Sleep
"8/8/17, 9:40 AM",,,85,Sleep
"8/8/17, 1:15 PM",,,88,Sleep
"8/8/17, 4:30 PM",,,15,Sleep
"8/8/17, 5:25 PM",,,80,Sleep
"8/8/17, 9:50 PM",,,99,Sleep
"8/9/17, 12:01 AM",,,104,Sleep
"8/9/17, 2:36 AM",,,110,Sleep
"8/9/17, 5:02 AM",,,83,Sleep
"8/9/17, 8:00 AM",,,30,Sleep
"8/9/17, 9:05 AM",,,5,Sleep
"8/9/17, 12:56 PM",,,28,Sleep
"8/9/17, 3:00 PM",,,116,Sleep
"8/9/17, 7:30 PM",,,77,Sleep
"8/9/17, 9:40 PM",,,125,Sleep
"8/10/17, 12:20 AM",,,110,Sleep
"8/10/17, 4:30 AM",,,17,Sleep
"8/10/17, 5:35 AM",,,126,Sleep
"8/10/17, 8:16 AM",,,89,Sleep
"8/10/17, 1:00 PM",,,34,Sleep
"8/10/17, 2:08 PM",,,27,Sleep
"8/10/17, 2:41 PM",,,39,Sleep
"8/10/17, 4:03 PM",,,75,Sleep
"8/10/17, 5:00 PM",,,22,Sleep
"8/10/17, 5:23 PM",,,16,Sleep
"8/10/17, 6:30 PM",,,64,Sleep
"8/10/17, 9:25 PM",,,50,Sleep
"8/10/17, 11:30 PM",,,115,Sleep
"8/11/17, 2:19 AM",,,72,Sleep
"8/11/17, 4:12 AM",,,119,Sleep
"8/11/17, 7:04 AM",,,116,Sleep
"8/11/17, 12:45 PM",,,99,Sleep
"8/11/17, 3:50 PM",,,33,Sleep
"8/11/17, 6:30 PM",,,37,Sleep
"8/11/17, 7:45 PM",,,95,Sleep
"8/11/17, 11:27 PM",,,0,Sleep
"8/11/17, 11:28 PM",,,122,Sleep
"8/12/17, 2:15 AM",,,137,Sleep
"8/12/17, 5:59 AM",,,121,Sleep
"8/12/17, 9:20 AM",,,20,Sleep
"8/12/17, 10:50 AM",,,60,Sleep
"8/12/17, 1:25 PM",,,45,Sleep
"8/12/17, 2:25 PM",,,108,Sleep
"8/12/17, 6:00 PM",,,47,Sleep
"8/12/17, 7:20 PM",,,101,Sleep
"8/12/17, 9:45 PM",,,150,Sleep
"8/13/17, 1:06 AM",,,120,Sleep
"8/13/17, 4:09 AM",,,84,Sleep
"8/13/17, 7:32 AM",,,72,Sleep
"8/13/17, 10:15 AM",,,28,Sleep
"8/13/17, 4:05 PM",,,70,Sleep
"8/13/17, 5:45 PM",,,121,Sleep
"8/13/17, 10:47 PM",,,97,Sleep
"8/14/17, 1:20 AM",,,145,Sleep
"8/14/17, 4:32 AM",,,115,Sleep
"8/14/17, 7:42 AM",,,63,Sleep
"8/14/17, 1:04 PM",,,14,Sleep
"8/14/17, 5:30 PM",,,85,Sleep
"8/14/17, 10:00 PM",,,130,Sleep
"8/15/17, 1:26 AM",,,108,Sleep
"8/15/17, 4:24 AM",,,121,Sleep
"8/15/17, 7:26 AM",,,59,Sleep
"8/15/17, 11:55 AM",,,30,Sleep
"8/15/17, 2:00 PM",,,19,Sleep
"8/15/17, 2:51 PM",,,100,Sleep
"8/15/17, 7:23 PM",,,70,Sleep
"8/15/17, 11:57 PM",,,47,Sleep
"8/16/17, 1:24 AM",,,135,Sleep
"8/16/17, 4:39 AM",,,50,Sleep
"8/16/17, 6:35 AM",,,282,Sleep
"8/16/17, 11:20 AM",,,84,Sleep
"8/16/17, 1:45 PM",,,3,Sleep
"8/16/17, 5:14 PM",,,37,Sleep
"8/16/17, 7:37 PM",,,83,Sleep
"8/16/17, 11:22 PM",,,154,Sleep
"8/17/17, 2:43 AM",,,22,Sleep
"8/17/17, 3:50 AM",,,9,Sleep
"8/17/17, 5:25 AM",,,154,Sleep
"8/17/17, 9:05 AM",,,56,Sleep
"8/17/17, 2:10 PM",,,20,Sleep
"8/17/17, 8:00 PM",,,65,Sleep
"8/18/17, 12:02 AM",,,13,Sleep
"8/18/17, 12:54 AM",,,16,Sleep
"8/18/17, 1:50 AM",,,36,Sleep
"8/18/17, 2:47 AM",,,163,Sleep
"8/18/17, 6:00 AM",,,89,Sleep
"8/18/17, 8:35 AM",,,71,Sleep
"8/18/17, 11:52 AM",,,32,Sleep
"8/18/17, 2:15 PM",,,25,Sleep
"8/18/17, 3:52 PM",,,67,Sleep
"8/18/17, 6:10 PM",,,20,Sleep
"8/18/17, 6:42 PM",,,33,Sleep
"8/18/17, 9:25 PM",,,40,Sleep
"8/19/17, 1:45 AM",,,130,Sleep
"8/19/17, 4:30 AM",,,161,Sleep
"8/19/17, 8:05 AM",,,90,Sleep
"8/19/17, 10:22 AM",,,17,Sleep
"8/19/17, 11:13 AM",,,90,Sleep
"8/19/17, 2:10 PM",,,13,Sleep
"8/19/17, 3:35 PM",,,79,Sleep
"8/19/17, 6:59 PM",,,33,Sleep
"8/19/17, 8:43 PM",,,68,Sleep
"8/19/17, 10:43 PM",,,14,Sleep
"8/19/17, 11:02 PM",,,122,Sleep
"8/20/17, 2:34 AM",,,4,Sleep
"8/20/17, 2:48 AM",,,102,Sleep
"8/20/17, 5:27 AM",,,137,Sleep
"8/20/17, 8:34 AM",,,80,Sleep
"8/20/17, 11:34 AM",,,7,Sleep
"8/20/17, 1:20 PM",,,44,Sleep
"8/20/17, 2:29 PM",,,20,Sleep
"8/20/17, 3:11 PM",,,4,Sleep
"8/20/17, 3:34 PM",,,26,Sleep
"8/20/17, 4:30 PM",,,39,Sleep
"8/20/17, 5:40 PM",,,104,Sleep
"8/20/17, 9:16 PM",,,35,Sleep
"8/20/17, 11:30 PM",,,10,Sleep
"8/21/17, 1:40 AM",,,139,Sleep
"8/21/17, 4:44 AM",,,136,Sleep
"8/21/17, 7:28 AM",,,27,Sleep
"8/21/17, 8:30 AM",,,115,Sleep
"8/21/17, 12:02 PM",,,30,Sleep
"8/21/17, 2:14 PM",,,24,Sleep
"8/21/17, 5:00 PM",,,75,Sleep
"8/21/17, 9:40 PM",,,121,Sleep
"8/22/17, 12:28 AM",,,152,Sleep
"8/22/17, 4:23 AM",,,128,Sleep
"8/22/17, 8:14 AM",,,51,Sleep
"8/22/17, 11:57 AM",,,61,Sleep
"8/22/17, 1:32 PM",,,67,Sleep
"8/22/17, 4:45 PM",,,30,Sleep
"8/22/17, 6:41 PM",,,144,Sleep
"8/22/17, 10:15 PM",,,55,Sleep
"8/22/17, 11:40 PM",,,137,Sleep
"8/23/17, 3:24 AM",,,96,Sleep
"8/23/17, 3:27 AM",,,0,Sleep
"8/23/17, 5:30 AM",,,97,Sleep
"8/23/17, 8:47 AM",,,75,Sleep
"8/23/17, 1:45 PM",,,45,Sleep
"8/23/17, 3:30 PM",,,66,Sleep
"8/23/17, 6:48 PM",,,41,Sleep
"8/23/17, 9:07 PM",,,92,Sleep
"8/23/17, 11:27 PM",,,123,Sleep
"8/24/17, 2:49 AM",,,103,Sleep
"8/24/17, 6:40 AM",,,169,Sleep
"8/24/17, 10:38 AM",,,58,Sleep
"8/24/17, 2:04 PM",,,45,Sleep
"8/24/17, 4:58 PM",,,83,Sleep
"8/24/17, 6:57 PM",,,143,Sleep
"8/24/17, 11:43 PM",,,4,Sleep
"8/25/17, 12:16 AM",,,135,Sleep
"8/25/17, 3:15 AM",,,119,Sleep
"8/25/17, 6:15 AM",,,90,Sleep
"8/25/17, 8:20 AM",,,45,Sleep
"8/25/17, 11:15 AM",,,68,Sleep
"8/25/17, 1:50 PM",,,70,Sleep
"8/25/17, 5:40 PM",,,31,Sleep
"8/25/17, 10:30 PM",,,121,Sleep
"8/26/17, 2:22 AM",,,123,Sleep
"8/26/17, 4:48 AM",,,162,Sleep
"8/26/17, 11:45 AM",,,94,Sleep
"8/26/17, 3:22 PM",,,35,Sleep
"8/26/17, 6:00 PM",,,117,Sleep
"8/26/17, 9:53 PM",,,41,Sleep
"8/27/17, 3:13 AM",,,122,Sleep
"8/27/17, 6:01 AM",,,99,Sleep
"8/27/17, 9:01 AM",,,36,Sleep
"8/27/17, 1:13 PM",,,95,Sleep
"8/27/17, 4:51 PM",,,54,Sleep
"8/27/17, 6:40 PM",,,113,Sleep
"8/27/17, 9:37 PM",,,110,Sleep
"8/27/17, 11:53 PM",,,172,Sleep
"8/28/17, 3:25 AM",,,45,Sleep
"8/28/17, 4:31 AM",,,109,Sleep
"8/28/17, 7:43 AM",,,63,Sleep
"8/28/17, 12:50 PM",,,17,Sleep
"8/28/17, 1:30 PM",,,26,Sleep
"8/28/17, 2:30 PM",,,89,Sleep
"8/28/17, 6:30 PM",,,44,Sleep
"8/28/17, 7:30 PM",,,59,Sleep
"8/28/17, 9:00 PM",,,46,Sleep
"8/29/17, 1:00 AM",,,30,Sleep
"8/29/17, 2:30 AM",,,90,Sleep
"8/29/17, 4:34 AM",,,113,Sleep
"8/29/17, 7:03 AM",,,146,Sleep
"8/29/17, 12:50 PM",,,33,Sleep
"8/29/17, 4:12 PM",,,108,Sleep
"8/29/17, 6:28 PM",,,116,Sleep
"8/29/17, 9:40 PM",,,121,Sleep
"8/30/17, 12:35 AM",,,135,Sleep
"8/30/17, 4:00 AM",,,142,Sleep
"8/30/17, 8:04 AM",,,97,Sleep
"8/30/17, 11:15 AM",,,45,Sleep
"8/30/17, 1:55 PM",,,99,Sleep
"8/30/17, 5:30 PM",,,16,Sleep
"8/30/17, 7:05 PM",,,173,Sleep
"8/30/17, 11:11 PM",,,170,Sleep
"8/31/17, 3:26 AM",,,1,Sleep
"8/31/17, 4:04 AM",,,141,Sleep
"8/31/17, 6:44 AM",,,152,Sleep
"8/31/17, 11:06 AM",,,49,Sleep
"8/31/17, 1:15 PM",,,65,Sleep
"8/31/17, 2:45 PM",,,45,Sleep
"8/31/17, 5:31 PM",,,54,Sleep
"8/31/17, 8:53 PM",,,56,Sleep
"8/31/17, 10:19 PM",,,131,Sleep
"9/1/17, 1:03 AM",,,164,Sleep
"9/1/17, 4:33 AM",,,147,Sleep
"9/1/17, 8:01 AM",,,44,Sleep
"9/1/17, 11:20 AM",,,37,Sleep
"9/1/17, 12:10 PM",,,19,Sleep
"9/1/17, 1:15 PM",,,59,Sleep
"9/1/17, 2:20 PM",,,15,Sleep
"9/1/17, 3:50 PM",,,48,Sleep
"9/1/17, 7:15 PM",,,44,Sleep
"9/1/17, 8:58 PM",,,142,Sleep
"9/1/17, 11:36 PM",,,111,Sleep
"9/2/17, 1:53 AM",,,156,Sleep
"9/2/17, 5:20 AM",,,71,Sleep
"9/2/17, 8:05 AM",,,34,Sleep
"9/2/17, 10:04 AM",,,102,Sleep
"9/2/17, 2:50 PM",,,40,Sleep
"9/2/17, 4:55 PM",,,17,Sleep
"9/2/17, 6:35 PM",,,115,Sleep
"9/2/17, 9:43 PM",,,176,Sleep
"9/3/17, 1:04 AM",,,111,Sleep
"9/3/17, 4:00 AM",,,111,Sleep
"9/3/17, 6:26 AM",,,2,Sleep
"9/3/17, 7:11 AM",,,49,Sleep
"9/3/17, 8:27 AM",,,43,Sleep
"9/3/17, 10:57 AM",,,23,Sleep
"9/3/17, 1:04 PM",,,57,Sleep
"9/3/17, 3:12 PM",,,38,Sleep
"9/3/17, 4:39 PM",,,101,Sleep
"9/3/17, 8:02 PM",,,23,Sleep
"9/3/17, 10:39 PM",,,161,Sleep
"9/4/17, 1:48 AM",,,167,Sleep
"9/4/17, 5:05 AM",,,65,Sleep
"9/4/17, 6:50 AM",,,65,Sleep
"9/4/17, 9:46 AM",,,28,Sleep
"9/4/17, 11:14 AM",,,23,Sleep
"9/4/17, 2:13 PM",,,4,Sleep
"9/4/17, 2:20 PM",,,24,Sleep
"9/4/17, 3:14 PM",,,47,Sleep
"9/4/17, 5:45 PM",,,20,Sleep
"9/4/17, 6:52 PM",,,38,Sleep
"9/4/17, 8:31 PM",,,60,Sleep
"9/4/17, 9:55 PM",,,163,Sleep
"9/5/17, 1:06 AM",,,139,Sleep
"9/5/17, 4:45 AM",,,55,Sleep
"9/5/17, 6:28 AM",,,50,Sleep
"9/5/17, 7:53 AM",,,50,Sleep
"9/5/17, 1:06 PM",,,53,Sleep
"9/5/17, 2:30 PM",,,88,Sleep
"9/5/17, 5:01 PM",,,52,Sleep
"9/5/17, 7:17 PM",,,34,Sleep
"9/5/17, 9:37 PM",,,113,Sleep
"9/6/17, 12:05 AM",,,174,Sleep
"9/6/17, 3:40 AM",,,95,Sleep
"9/6/17, 5:38 AM",,,137,Sleep
"9/6/17, 9:11 AM",,,29,Sleep
"9/6/17, 11:02 AM",,,33,Sleep
"9/6/17, 12:49 PM",,,41,Sleep
"9/6/17, 3:27 PM",,,33,Sleep
"9/6/17, 5:40 PM",,,20,Sleep
"9/6/17, 7:11 PM",,,23,Sleep
"9/6/17, 8:00 PM",,,105,Sleep
"9/6/17, 10:00 PM",,,180,Sleep
"9/7/17, 1:30 AM",,,124,Sleep
"9/7/17, 4:04 AM",,,156,Sleep
"9/7/17, 8:15 AM",,,32,Sleep
"9/7/17, 10:40 AM",,,9,Sleep
"9/7/17, 11:51 AM",,,51,Sleep
"9/7/17, 2:03 PM",,,50,Sleep
"9/7/17, 4:15 PM",,,82,Sleep
"9/7/17, 6:12 PM",,,54,Sleep
"9/7/17, 7:31 PM",,,137,Sleep
"9/7/17, 10:08 PM",,,182,Sleep
"9/8/17, 2:15 AM",,,151,Sleep
"9/8/17, 5:11 AM",,,109,Sleep
"9/8/17, 8:21 AM",,,30,Sleep
"9/8/17, 10:34 AM",,,22,Sleep
"9/8/17, 12:10 PM",,,45,Sleep
"9/8/17, 2:32 PM",,,3,Sleep
"9/8/17, 3:43 PM",,,21,Sleep
"9/8/17, 4:20 PM",,,44,Sleep
"9/8/17, 5:22 PM",,,29,Sleep
"9/8/17, 6:52 PM",,,57,Sleep
"9/8/17, 10:13 PM",,,153,Sleep
