Time,LeftDuration,RightDuration,TotalDuration,Resource
"8/2/17, 1:55 PM",20,0,20,Nursing
"8/2/17, 5:40 PM",22,10,32,Nursing
"8/2/17, 8:17 PM",13,13,26,Nursing
"8/2/17, 10:20 PM",10,15,25,Nursing
"8/2/17, 11:20 PM",15,10,25,Nursing
"8/3/17, 2:45 AM",29,25,54,Nursing
"8/3/17, 4:45 AM",14,12,26,Nursing
"8/3/17, 5:50 AM",0,15,15,Nursing
"8/3/17, 9:00 AM",0,5,5,Nursing
"8/3/17, 11:21 AM",14,17,31,Nursing
"8/3/17, 1:07 PM",14,28,42,Nursing
"8/3/17, 3:12 PM",20,15,35,Nursing
"8/3/17, 5:20 PM",0,15,15,Nursing
"8/3/17, 7:18 PM",17,12,29,Nursing
"8/3/17, 7:55 PM",0,22,22,Nursing
"8/3/17, 9:35 PM",20,0,20,Nursing
"8/3/17, 10:50 PM",28,12,40,Nursing
"8/4/17, 3:40 AM",10,6,16,Nursing
"8/4/17, 4:12 AM",10,7,17,Nursing
"8/4/17, 5:15 AM",10,0,10,Nursing
"8/4/17, 7:55 AM",10,0,10,Nursing
"8/4/17, 9:43 AM",10,0,10,Nursing
"8/4/17, 11:31 AM",6,0,6,Nursing
"8/4/17, 11:43 AM",0,6,6,Nursing
"8/4/17, 12:50 PM",8,12,20,Nursing
"8/4/17, 3:56 PM",20,15,35,Nursing
"8/4/17, 6:05 PM",15,10,25,Nursing
"8/4/17, 9:29 PM",0,13,13,Nursing
"8/5/17, 12:15 AM",22,7,29,Nursing
"8/5/17, 2:43 AM",13,19,32,Nursing
"8/5/17, 5:00 AM",19,21,40,Nursing
"8/5/17, 9:01 AM",12,27,39,Nursing
"8/5/17, 11:30 AM",20,8,28,Nursing
"8/5/17, 2:04 PM",10,20,30,Nursing
"8/5/17, 4:16 PM",19,4,23,Nursing
"8/5/17, 7:30 PM",10,20,30,Nursing
"8/5/17, 10:28 PM",16,9,25,Nursing
"8/6/17, 1:01 AM",11,18,29,Nursing
"8/6/17, 3:39 AM",21,14,35,Nursing
"8/6/17, 5:59 AM",0,15,15,Nursing
"8/6/17, 6:52 AM",16,0,16,Nursing
"8/6/17, 9:07 AM",18,20,38,Nursing
"8/6/17, 10:59 AM",19,6,25,Nursing
"8/6/17, 2:49 PM",11,24,35,Nursing
"8/6/17, 5:00 PM",22,3,25,Nursing
"8/6/17, 8:42 PM",0,16,16,Nursing
"8/6/17, 11:01 PM",20,13,33,Nursing
"8/7/17, 12:57 AM",5,17,22,Nursing
"8/7/17, 3:49 AM",26,12,38,Nursing
"8/7/17, 5:37 AM",12,25,37,Nursing
"8/7/17, 8:51 AM",19,10,29,Nursing
"8/7/17, 12:02 PM",0,20,20,Nursing
"8/7/17, 3:14 PM",15,10,25,Nursing
"8/7/17, 5:47 PM",13,15,28,Nursing
"8/7/17, 8:08 PM",15,12,27,Nursing
"8/7/17, 10:16 PM",12,16,28,Nursing
"8/8/17, 1:17 AM",16,15,31,Nursing
"8/8/17, 5:19 AM",16,17,33,Nursing
"8/8/17, 6:46 AM",19,0,19,Nursing
"8/8/17, 9:03 AM",7,17,24,Nursing
"8/8/17, 11:07 AM",17,3,20,Nursing
"8/8/17, 12:40 PM",14,14,28,Nursing
"8/8/17, 2:43 PM",14,6,20,Nursing
"8/8/17, 4:48 PM",5,14,19,Nursing
"8/8/17, 6:55 PM",15,11,26,Nursing
"8/8/17, 8:52 PM",8,14,22,Nursing
"8/8/17, 11:30 PM",15,11,26,Nursing
"8/9/17, 1:54 AM",14,18,32,Nursing
"8/9/17, 4:29 AM",16,11,27,Nursing
"8/9/17, 8:34 AM",10,16,26,Nursing
"8/9/17, 10:32 AM",17,10,27,Nursing
"8/9/17, 12:28 PM",15,10,25,Nursing
"8/9/17, 2:30 PM",12,13,25,Nursing
"8/9/17, 5:03 PM",15,10,25,Nursing
"8/9/17, 6:46 PM",10,18,28,Nursing
"8/9/17, 8:52 PM",15,14,29,Nursing
