Time,LeftDuration,RightDuration,TotalDuration,Resource
"8/5/17, 12:15 AM",22,7,29,Nursing
"8/5/17, 2:43 AM",13,19,32,Nursing
"8/5/17, 5:00 AM",19,21,40,Nursing
"8/5/17, 9:01 AM",12,27,39,Nursing
"8/5/17, 11:30 AM",20,8,28,Nursing
"8/5/17, 2:04 PM",10,20,30,Nursing
"8/5/17, 4:16 PM",19,4,23,Nursing
"8/5/17, 7:30 PM",10,20,30,Nursing
"8/5/17, 10:28 PM",16,9,25,Nursing
"8/5/17, 1:45 AM",,,29,Sleep
"8/5/17, 3:50 AM",,,60,Sleep
"8/5/17, 5:50 AM",,,85,Sleep
"8/5/17, 7:45 AM",,,76,Sleep
"8/5/17, 11:05 AM",,,23,Sleep
"8/5/17, 12:00 PM",,,76,Sleep
"8/5/17, 1:30 PM",,,38,Sleep
"8/5/17, 3:15 PM",,,32,Sleep
"8/5/17, 4:42 PM",,,162,Sleep
"8/5/17, 8:05 PM",,,42,Sleep
"8/5/17, 8:56 PM",,,88,Sleep
"8/5/17, 1:00 AM",,,15,Mixed
"8/5/17, 7:20 AM",,,15,Mixed
"8/5/17, 9:55 AM",,,15,Mixed
"8/5/17, 4:00 PM",,,15,Mixed
"8/5/17, 7:55 PM",,,15,Mixed
