Time,Start Side,Left duration,Right duration,TotalDuration,Resource
"12/31/17, 6:37 PM",Left,20,11,31,Nursing
"1/1/18, 12:32 AM",Left,9,12,21,Nursing
"1/1/18, 8:05 AM",Left,11,4,15,Nursing
"1/1/18, 11:10 AM",Left,15,7,22,Nursing
"1/1/18, 1:26 PM",Left,14,7,21,Nursing
"1/1/18, 4:53 PM",Left,14,7,21,Nursing
"1/1/18, 7:00 PM",Left,23,5,28,Nursing
"1/2/18, 2:20 AM",Left,31,2,33,Nursing
"1/2/18, 7:44 AM",Right,3,10,13,Nursing
"1/2/18, 6:25 PM",Right,10,22,32,Nursing
"1/3/18, 12:30 AM",Left,15,15,30,Nursing
"1/3/18, 6:28 AM",Left,12,9,21,Nursing
"1/4/18, 12:52 AM",Left,23,5,28,Nursing
"1/4/18, 7:38 AM",Left,4,0,4,Nursing
"1/4/18, 6:45 PM",Left,12,11,23,Nursing
"1/4/18, 10:55 PM",Left,9,4,13,Nursing
"1/5/18, 6:23 AM",Left,3,0,3,Nursing
"1/5/18, 6:42 PM",Left,17,11,28,Nursing
"1/6/18, 2:14 AM",Left,12,4,16,Nursing
"1/6/18, 7:04 AM",Right,6,9,15,Nursing
"1/6/18, 10:29 AM",Left,13,2,15,Nursing
"1/6/18, 11:32 AM",Right,7,7,14,Nursing
"1/6/18, 2:14 PM",Right,16,11,27,Nursing
"1/6/18, 4:15 PM",Left,9,4,13,Nursing
"1/6/18, 6:37 PM",Right,10,18,28,Nursing
"1/7/18, 2:42 AM",Left,18,5,23,Nursing
"1/7/18, 7:32 AM",Left,9,4,13,Nursing
"1/7/18, 10:47 AM",Right,9,8,17,Nursing
"1/7/18, 1:00 PM",Left,10,5,15,Nursing
"1/7/18, 2:50 PM",Left,12,2,14,Nursing
"1/7/18, 5:42 PM",Left,12,5,17,Nursing
"1/7/18, 7:32 PM",Right,16,18,34,Nursing
"1/8/18, 1:30 AM",Left,16,9,25,Nursing
"1/8/18, 4:17 AM",Right,0,5,5,Nursing
"1/8/18, 6:13 AM",Left,7,0,7,Nursing
"1/8/18, 7:28 AM",Left,10,6,16,Nursing
"1/8/18, 6:37 PM",Left,21,6,27,Nursing
"1/9/18, 1:38 AM",Left,13,12,25,Nursing
"1/9/18, 6:52 AM",Left,12,5,17,Nursing
"1/9/18, 8:58 AM",Left,9,4,13,Nursing
"1/9/18, 6:31 PM",Left,19,19,38,Nursing
"1/10/18, 3:48 AM",Left,13,3,16,Nursing
"1/10/18, 7:39 AM",Left,17,6,23,Nursing
"1/10/18, 6:09 PM",Right,11,5,16,Nursing
"1/10/18, 10:00 PM",Left,12,12,24,Nursing
"1/11/18, 2:20 AM",Right,2,20,22,Nursing
"1/11/18, 6:03 AM",Left,26,3,29,Nursing
"1/11/18, 6:30 PM",Left,12,6,18,Nursing
"1/12/18, 2:28 AM",Left,15,5,20,Nursing
"1/12/18, 6:46 AM",Right,11,11,22,Nursing
"1/12/18, 6:32 PM",Left,13,14,27,Nursing
"1/13/18, 5:44 AM",Left,24,7,31,Nursing
"1/13/18, 7:57 AM",Right,3,10,13,Nursing
"1/13/18, 10:13 AM",Left,9,31,40,Nursing
"1/13/18, 1:22 PM",Right,14,10,24,Nursing
