Time,LeftDuration,RightDuration,TotalDuration,Resource
"10/1/17, 7:05 AM",20,0,20,Nursing
"10/1/17, 11:11 AM",22,20,42,Nursing
"10/1/17, 1:43 PM",20,14,34,Nursing
"10/1/17, 2:47 PM",0,3,3,Nursing
"10/1/17, 4:05 PM",15,9,24,Nursing
"10/1/17, 4:40 PM",11,12,23,Nursing
"10/1/17, 5:47 PM",16,18,34,Nursing
"10/1/17, 7:02 PM",0,8,8,Nursing
"10/2/17, 5:32 AM",24,13,37,Nursing
"10/2/17, 9:31 AM",14,14,28,Nursing
"10/2/17, 11:09 AM",11,10,21,Nursing
"10/2/17, 1:28 PM",17,9,26,Nursing
"10/2/17, 3:23 PM",14,11,25,Nursing
"10/2/17, 5:17 PM",28,15,43,Nursing
"10/3/17, 12:56 AM",17,0,17,Nursing
"10/3/17, 6:04 AM",14,20,34,Nursing
"10/3/17, 9:31 AM",9,6,15,Nursing
"10/3/17, 11:57 AM",15,9,24,Nursing
"10/3/17, 12:34 PM",10,2,12,Nursing
"10/3/17, 1:39 PM",14,30,44,Nursing
"10/3/17, 4:34 PM",6,3,9,Nursing
"10/3/17, 6:43 PM",6,9,15,Nursing
"10/4/17, 6:25 AM",20,20,40,Nursing
"10/4/17, 9:45 AM",17,6,23,Nursing
"10/4/17, 12:08 PM",15,7,22,Nursing
"10/4/17, 1:55 PM",10,14,24,Nursing
"10/4/17, 4:28 PM",11,15,26,Nursing
"10/4/17, 6:00 PM",13,8,21,Nursing
"10/5/17, 6:12 AM",17,5,22,Nursing
"10/5/17, 8:04 AM",18,9,27,Nursing
"10/5/17, 10:06 AM",14,18,32,Nursing
"10/5/17, 11:57 AM",19,12,31,Nursing
"10/5/17, 1:55 PM",7,6,13,Nursing
"10/5/17, 4:13 PM",14,20,34,Nursing
"10/5/17, 6:04 PM",14,11,25,Nursing
"10/6/17, 5:21 AM",19,5,24,Nursing
"10/6/17, 7:54 AM",25,20,45,Nursing
"10/6/17, 10:17 AM",16,17,33,Nursing
"10/6/17, 12:01 PM",10,6,16,Nursing
"10/6/17, 2:19 PM",13,30,43,Nursing
"10/6/17, 4:29 PM",11,12,23,Nursing
"10/6/17, 6:26 PM",9,19,28,Nursing
"10/7/17, 12:31 AM",20,4,24,Nursing
"10/7/17, 6:33 AM",20,16,36,Nursing
"10/7/17, 10:51 AM",9,10,19,Nursing
"10/7/17, 1:40 PM",2,18,20,Nursing
"10/7/17, 3:38 PM",23,3,26,Nursing
"10/7/17, 5:55 PM",9,19,28,Nursing
"10/8/17, 7:19 AM",17,9,26,Nursing
"10/8/17, 9:06 AM",22,26,48,Nursing
"10/8/17, 11:42 AM",24,11,35,Nursing
"10/8/17, 2:17 PM",10,23,33,Nursing
"10/8/17, 4:39 PM",11,15,26,Nursing
"10/8/17, 6:32 PM",21,14,35,Nursing
"10/9/17, 6:02 AM",11,9,20,Nursing
"10/9/17, 7:47 AM",17,30,47,Nursing
"10/9/17, 10:36 AM",12,24,36,Nursing
"10/9/17, 12:52 PM",29,8,37,Nursing
"10/9/17, 3:44 PM",12,10,22,Nursing
"10/9/17, 5:50 PM",25,15,40,Nursing
"10/10/17, 5:10 AM",10,15,25,Nursing
"10/10/17, 6:03 AM",0,28,28,Nursing
"10/10/17, 7:52 AM",21,18,39,Nursing
"10/10/17, 10:04 AM",12,29,41,Nursing
"10/10/17, 12:11 PM",22,19,41,Nursing
"10/10/17, 2:16 PM",8,18,26,Nursing
"10/10/17, 4:11 PM",13,6,19,Nursing
"10/10/17, 6:06 PM",19,8,27,Nursing
"10/11/17, 4:10 AM",8,9,17,Nursing
"10/11/17, 5:42 AM",12,14,26,Nursing
"10/11/17, 8:13 AM",15,11,26,Nursing
"10/11/17, 10:22 AM",18,6,24,Nursing
"10/11/17, 12:09 PM",0,12,12,Nursing
"10/11/17, 2:05 PM",24,3,27,Nursing
"10/11/17, 4:16 PM",20,20,40,Nursing
"10/11/17, 6:00 PM",5,16,21,Nursing
"10/12/17, 7:23 AM",18,0,18,Nursing
"10/12/17, 9:43 AM",4,4,8,Nursing
"10/12/17, 10:05 AM",0,5,5,Nursing
"10/12/17, 11:39 AM",12,14,26,Nursing
"10/12/17, 1:27 PM",0,9,9,Nursing
"10/12/17, 3:32 PM",22,11,33,Nursing
"10/12/17, 5:37 PM",15,7,22,Nursing
"10/13/17, 6:16 AM",9,0,9,Nursing
"10/13/17, 8:47 AM",15,9,24,Nursing
"10/13/17, 11:02 AM",7,10,17,Nursing
"10/13/17, 12:39 PM",14,13,27,Nursing
"10/13/17, 2:53 PM",16,21,37,Nursing
"10/13/17, 5:42 PM",15,18,33,Nursing
"10/14/17, 7:54 AM",23,15,38,Nursing
"10/14/17, 10:21 AM",17,9,26,Nursing
