Time,Amount,Note
"8/7/17, 3:46 PM",.1 oz.,
"8/7/17, 6:10 PM",.1 oz.,
"8/7/17, 8:55 PM",.1 oz.,
"8/7/17, 10:48 PM",.1 oz.,
"8/8/17, 1:59 AM",.1 oz.,
"8/8/17, 3:41 AM",.45 oz.,
"8/8/17, 9:46 AM",.1 oz.,
"8/8/17, 11:39 AM",.1 oz.,
"8/8/17, 1:28 PM",.09 oz.,"R 0.05oz, L  0.04oz"
"8/8/17, 3:27 PM",.09 oz.,L - a few drops. R - 0.05oz
"8/8/17, 5:22 PM",.07 oz.,R - 0.05oz. L-0.02
"8/8/17, 7:42 PM",.04 oz.,L 0.02oz R 0.02oz
"8/8/17, 9:53 PM",.09 oz.,R 0.07 L .02
"8/9/17, 12:10 AM",.05 oz.,L .02 R .03
"8/9/17, 2:36 AM",.04 oz.,R .02 L .02
"8/9/17, 5:02 AM",.02 oz.,L 0.01 very little. R 0.01 very little
"8/9/17, 6:12 AM",.5 oz.,Had to pump L side 4x and R 3x. Not sure if L was actually emptied
"8/9/17, 9:05 AM",.06 oz.,R - 0.02 L - 0.04
"8/9/17, 11:19 AM",.03 oz.,"L .02, R .01"
"8/9/17, 1:05 PM",.07 oz.,L .03 R .04
"8/9/17, 3:09 PM",.06 oz.,R 0.03 L 0.03
"8/9/17, 7:15 PM",.06 oz.,
"8/9/17, 7:16 PM",.09 oz.,R .05 L 0.04
"8/9/17, 9:29 PM",.04 oz.,L . 01 R .03
"8/10/17, 12:17 AM",.06 oz.,R ? L ? = 0.06
"8/10/17, 3:07 AM",.05 oz.,L .03 R .02
"8/10/17, 9:33 AM",.9 oz.,No BF. R 0.5 L 0.4 simultaneous
"8/10/17, 12:07 PM",.11 oz.,R .08 L .03
"8/10/17, 2:53 PM",.03 oz.,L 0.01 R 0.02
"8/10/17, 4:03 PM",.04 oz.,"R .01, L .03"
"8/10/17, 6:07 PM",.04 oz.,L .01 R .03
"8/10/17, 8:05 PM",.05 oz.,R .02 L 0.03
"8/11/17, 8:35 AM",.8 oz.,"No BF. R 0.6, L 0.2"
"8/11/17, 3:09 PM",.2 oz.,L .1 R .1; multiple pumps
"8/11/17, 5:38 PM",.2 oz.,R .09 L .07
"8/11/17, 7:40 PM",.2 oz.,
"8/11/17, 8:12 PM",2 oz.,"No BF. L - .75, R - 1.25. Tried pumping for 20min. Was going to power pump but stopped"
"8/11/17, 10:52 PM",.7 oz.,R 0.5 L 0.2
"8/12/17, 7:43 AM",1.6 oz.,"No BF. 2nd letdown at 23min
L 0.6 R 1"
"8/12/17, 11:12 AM",1 oz.,R 0.8 L 0.2. B didn't drink much from R
"8/12/17, 1:03 PM",.11 oz.,R 0.1 L 0.01
"8/12/17, 2:26 PM",1 oz.,"No BF. 14min - 2nd let down (expression phase)
16min - 3rd letdown on R side (stimulation)
R 0.7 L 0.3"
"8/12/17, 7:57 PM",.35 oz.,L 0.25 R 0.1
"8/12/17, 9:34 PM",1.85 oz.,"No BF. R 1oz, L 0.85
Let down 3 times on left side"
"8/13/17, 9:09 AM",1.55 oz.,"R 0.8, L 0.75
Second letdown at 5min"
"8/13/17, 11:57 AM",.39 oz.,R 0.3 L 0.09
"8/13/17, 2:03 PM",.25 oz.,"L 0.05, R 0.2"
"8/13/17, 4:20 PM",2.5 oz.,"Power pump 1 hr. R 1.8, L 0.7"
"8/14/17, 4:08 AM",2.75 oz.,"Power Pump. 1st 20min R 1.4, L 0.9
2nd 10min R 0.3 L 0.15"
"8/14/17, 10:00 AM",.2 oz.,R 0.1 L 0.1
"8/14/17, 11:17 AM",1.1 oz.,No BF. L 0.4 R 0.7
"8/14/17, 2:26 PM",.35 oz.,R 0.25 L 0.1
"8/14/17, 6:00 PM",.85 oz.,L 0.25 R 0.6. 2nd letdown at 16min
"8/14/17, 9:10 PM",2.15 oz.,"Power pump: 1: R 1oz, L 0.5
2: R 0.2 L 0.2
3: R 0.15 L 0.1"
"8/16/17, 6:08 PM",.2 oz.,L only
"8/17/17, 2:00 PM",.15 oz.,"R 0.09, L 0.06"
"8/17/17, 4:24 PM",.6 oz.,R 0.4 L 0.2
"8/17/17, 7:12 PM",.85 oz.,"Power pump: 1) L 0.1 R 0.2
3) L 0.35 R 0.5"
"8/18/17, 12:21 AM",.25 oz.,"L 0.05, R 0.2"
"8/18/17, 9:03 AM",.3 oz.,R 0.1 L 0.2
"8/18/17, 4:30 PM",.6 oz.,L 0.2 R 0.4
"8/19/17, 1:20 AM",.9 oz.,"L 0.4, R 0.5"
"8/19/17, 11:55 AM",1.2 oz.,L 0.5 R 0.7. Watched dog videos
"8/19/17, 6:45 PM",.3 oz.,L 0.1. R 0.2
"8/20/17, 2:02 AM",2.2 oz.,Power pump - L 0.75. R 1.45
"8/20/17, 9:31 AM",1.1 oz.,L 0.6 R 0.5
"8/20/17, 6:00 PM",1.1 oz.,R 0.5 L 0.6
"8/21/17, 5:36 AM",1.4 oz.,"R 1.0, L 0.4"
"8/21/17, 7:55 AM",1 oz.,R 0.5 L 0.5
"8/21/17, 4:46 PM",1.6 oz.,"PP L 0.5, R 1.1"
"8/21/17, 8:54 PM",1 oz.,Pump Only L 0.4 R 0.6
"8/22/17, 11:29 AM",1.35 oz.,"Pump only. R 1.1, L 0.25"
"8/22/17, 1:56 PM",.75 oz.,R 0.5 L 0.25
"8/22/17, 3:57 PM",.8 oz.,"R 0.3, L 0.3. Hand exp 0.2"
"8/22/17, 6:27 PM",1.6 oz.,"PP R 1, L 0.6, hand very little"
"8/22/17, 11:30 PM",1.6 oz.,"Pump only: L 0.5, R 1.0, hand 0.1"
"8/23/17, 6:12 AM",.5 oz.,L 0.1 R 0.1 hand 0.3
"8/23/17, 7:41 AM",1.5 oz.,"PP 1) R 0.5 L 0.25 Hand 0.25
3) 1.5"
"8/23/17, 1:25 PM",.25 oz.,L 0.1 R 0.1 hand 0.05
"8/23/17, 4:07 PM",1 oz.,Symphony. L 0.1 R 0.1. Hand 0.8
"8/23/17, 6:07 PM",1.5 oz.,Pump only R 0.5 L 0.5. Hand 0.5
"8/23/17, 8:49 PM",.6 oz.,"Hand 0.2, L 0.2, R 0.2"
"8/23/17, 11:06 PM",1.35 oz.,Pump only. L 0.5 R 0.75 hand 0.1
"8/24/17, 3:00 AM",.5 oz.,
"8/24/17, 5:52 AM",.8 oz.,L 0.2 R 0.6
"8/24/17, 10:59 AM",1.25 oz.,After supplementer on L breast. L 0.2 R 0.8. Hand 0.25
"8/24/17, 4:28 PM",.8 oz.,After supplementer. L 0.1 R 0.2 hand 0.5
"8/24/17, 7:04 PM",2.25 oz.,PP L 0.7. R 1.2 H 0.35
"8/24/17, 11:12 PM",.5 oz.,L 0.1 R 0.2. Hand 0.2
"8/25/17, 3:30 AM",.5 oz.,Hand only
"8/25/17, 6:26 AM",.3 oz.,Hand only
"8/25/17, 2:10 PM",1.5 oz.,"L 0.6, R 0.75 hand 0.15"
"8/25/17, 5:00 PM",.5 oz.,L 0.2 R 0.1 hand 0.2
"8/25/17, 8:18 PM",.5 oz.,
"8/26/17, 2:15 AM",.25 oz.,
"8/26/17, 4:51 AM",2.7 oz.,L 0.5 R 1.0 hand 1.2
"8/26/17, 9:26 AM",.7 oz.,
"8/26/17, 5:37 PM",.4 oz.,
"8/26/17, 9:13 PM",.5 oz.,
"8/26/17, 11:05 PM",1.7 oz.,Pump only. L 0.7 R 1.0 hand a lil
"8/27/17, 5:53 AM",2.1 oz.,"Pump only L 0.8, R 1.3"
"8/27/17, 9:42 AM",1 oz.,L 0.2 R 0.1. Hand 0.7
"8/27/17, 6:25 PM",1.8 oz.,Pump only. L 0.6 R 0.75. Hand 0.45
"8/27/17, 11:54 PM",1.6 oz.,Pump only. L 0.6 R 1.0
"8/28/17, 6:54 AM",2.3 oz.,Pump only L 0.4 R 0.4. Hand 1.5
"8/28/17, 7:30 AM",.9 oz.,
"8/28/17, 5:00 PM",.4 oz.,Hand first 0.3. Pump after 0.1
"8/28/17, 7:06 PM",2.1 oz.,Power pump L 0.75. R 1.25
"8/28/17, 8:33 PM",1 oz.,Hand only
"8/28/17, 11:20 PM",1 oz.,
"8/28/17, 11:48 PM",1 oz.,Pump only
"8/29/17, 6:57 AM",3.4 oz.,L 1 R 2 hand 0.4
"8/29/17, 3:30 PM",.5 oz.,Hand only
"8/29/17, 5:57 PM",2.7 oz.,PP L 0.7 R 1.9 hand very little
"8/30/17, 1:00 AM",.9 oz.,L 0.4 R 0.5
"8/30/17, 7:46 AM",2.4 oz.,After feeding. L 1. R 0.1.4. Hand very little
"8/30/17, 10:21 AM",1.7 oz.,Pump only L 0.7 R 1
"8/30/17, 2:24 PM",2 oz.,After feeding L 0.75 R 1.25
"8/30/17, 5:00 PM",1.3 oz.,Power pump after a 30min feeding
"8/30/17, 6:30 PM",.2 oz.,
"8/30/17, 11:10 PM",2 oz.,After feeding. L 0.7. R 1.25
"8/31/17, 2:34 AM",2.6 oz.,Pump only. L 0.8 R 1.8
"8/31/17, 4:04 AM",1 oz.,
"8/31/17, 6:49 AM",1.6 oz.,Pump only L 0.6 R 1.0
"8/31/17, 9:49 AM",1.6 oz.,R 1.4. L 0.2. Simultaneous
"8/31/17, 11:30 AM",1.2 oz.,L 0.5 R 0.7
"8/31/17, 1:30 PM",1.2 oz.,L 0.4 R 0.8 hand very lil
"8/31/17, 4:30 PM",1 oz.,
"8/31/17, 6:45 PM",2 oz.,L 0.7. R 1.3
"8/31/17, 8:50 PM",.2 oz.,
"8/31/17, 10:05 PM",1.2 oz.,L 0.5 R 0.7
"9/1/17, 1:02 AM",2.3 oz.,L 0.8 R 1.5
"9/1/17, 4:01 AM",2.1 oz.,L 0.7 R 1.4
"9/1/17, 8:11 AM",1.9 oz.,"After feeding and shower, L 0.7 R 1.25"
"9/1/17, 9:30 AM",.6 oz.,
"9/1/17, 11:30 AM",1.5 oz.,L 0.6 R 0.9
"9/1/17, 1:30 PM",1.6 oz.,L 0.6 R 1.0 H lil
"9/1/17, 4:15 PM",1.6 oz.,L 0.6. R 1
"9/1/17, 6:15 PM",.75 oz.,L 0.25. R .5
"9/1/17, 8:40 PM",1.05 oz.,After feeding. L 0.3 R 0.75
"9/1/17, 11:41 PM",2.25 oz.,L 0.75 R 1.75
"9/2/17, 1:30 AM",1.5 oz.,L 0.5 R 1
"9/2/17, 4:37 AM",1.6 oz.,L 0.5 R 1 H little
"9/2/17, 8:05 AM",1.5 oz.,After feeding and shower. L 0.7 R 0.8
"9/2/17, 10:00 AM",1.35 oz.,R 1.0 L 0.35
"9/2/17, 12:15 PM",1.4 oz.,After feeding. L 0.5 R 0.9
"9/2/17, 3:51 PM",2.2 oz.,L 0.5 R 1.5
"9/2/17, 5:30 PM",1.5 oz.,L 0.5 R 1.0
"9/2/17, 6:20 PM",.6 oz.,L 0.2 R 0.4
"9/2/17, 9:40 PM",.9 oz.,L 0.3 R 0.6
"9/3/17, 4:05 AM",2.3 oz.,"L 0.9, R 1,4 At 10min after massage out first letdown, went back to stimulation mode near max and got a 2nd letdown on R which started L when went to swallow phase"
"9/3/17, 6:09 AM",1.9 oz.,L 0.7 R 1.2 hand lil
"9/3/17, 8:30 AM",1.8 oz.,"L 0.6. R 1.0. After a short feeding
L2 0.7 R2 1.1"
"9/3/17, 10:30 AM",1 oz.,L 0.3 R 0.7
"9/3/17, 12:10 PM",.4 oz.,L 0.2 R 0.2
"9/3/17, 2:40 PM",.35 oz.,After feeding. L 0.1 R 0.25
"9/3/17, 4:32 PM",.8 oz.,L 0.25 R 0.55
"9/3/17, 7:11 PM",.25 oz.,L 0.15 R 0.1
"9/3/17, 9:30 PM",.2 oz.,After feeding. Poor job pumping bc also feeding B simultaneously
"9/4/17, 1:20 AM",4.7 oz.,L 1.7 R 3
"9/4/17, 4:35 AM",2.6 oz.,L 0.9 R 1.7
"9/4/17, 8:40 AM",.6 oz.,L 0.3 R 0.3
"9/4/17, 10:30 AM",1.25 oz.,L 0.5 R 0.75
"9/4/17, 1:00 PM",.2 oz.,
"9/4/17, 5:13 PM",.8 oz.,L 0.2 R 0.6
"9/4/17, 6:20 PM",1.5 oz.,L 0.5 R 1
"9/4/17, 7:41 PM",1 oz.,"#1 L 0.4 R 0.5
#2 0.45 0.55"
"9/4/17, 9:30 PM",1.7 oz.,"1 L 0.5 R 0.9
2 0.6 1.1"
"9/5/17, 4:45 AM",2.1 oz.,L 1 R 1.1
"9/5/17, 8:05 AM",1.3 oz.,"1 L0.2 R 0.4
2 0.4 0.9"
"9/5/17, 12:20 PM",1.45 oz.,L 0.75 R 0.7
"9/5/17, 2:30 PM",1.7 oz.,"1 L 0.6 R 1.1
2 very lil"
"9/5/17, 4:52 PM",.1 oz.,Very lil
"9/5/17, 6:21 PM",.3 oz.,L 0.2 R 0.1
"9/5/17, 8:00 PM",2.4 oz.,L 1 R 1.4
"9/5/17, 10:00 PM",1.4 oz.,L 0.5 R 0.9
"9/5/17, 11:30 PM",1.25 oz.,L 0.5. R .75
"9/6/17, 2:00 AM",1.7 oz.,L 0.6 R 1.1
"9/6/17, 5:20 AM",3.1 oz.,L 1.1 R 2
"9/6/17, 8:20 AM",1 oz.,PP. L 0.4 R 0.6. Had a 2nd letdown!
"9/6/17, 10:20 AM",.25 oz.,
"9/6/17, 4:45 PM",.25 oz.,
"9/6/17, 6:15 PM",2.2 oz.,L 1 R 1.2
"9/6/17, 7:50 PM",1.4 oz.,L 0.5 R 0.9
"9/6/17, 9:50 PM",1.7 oz.,L 0.6 R 1.1
"9/7/17, 1:00 AM",2.6 oz.,L 0.9 R 1.7
"9/7/17, 4:04 AM",2.25 oz.,L 0.75 R 1.5
"9/7/17, 7:20 AM",.6 oz.,L R 0.3
"9/7/17, 11:15 AM",.9 oz.,L 0.3 R 0.6
"9/7/17, 2:30 PM",1.5 oz.,
"9/7/17, 3:13 PM",.7 oz.,L 0.25 R 0.45
"9/7/17, 9:30 PM",3.2 oz.,L 1.4 R 1.8
"9/8/17, 1:10 AM",3.5 oz.,L 1.3 R 2.2
"9/8/17, 4:10 AM",2.4 oz.,L 0.7 R 1.7
"9/8/17, 11:00 AM",1.75 oz.,L 0.75 R 1
"9/8/17, 3:45 PM",1.6 oz.,L R 0.8 each
"9/8/17, 6:15 PM",.3 oz.,
"9/8/17, 9:00 PM",1.4 oz.,0.7 L R
"9/9/17, 1:12 AM",4 oz.,L 1.45 R 2.5
"9/9/17, 10:45 AM",3.5 oz.,L 1.3 R 2.2
"9/9/17, 12:45 PM",.25 oz.,
"9/9/17, 3:35 PM",3.2 oz.,L 1.2 R 2
