,Time,LeftDuration,RightDuration,TotalDuration,Resource,longestTimeBtwnFeeds,# of Night Feeds,# of Night Wakes,EndTime,DateOnly,DateString,Time_SameDate,EndTime_SameDate,Daydifference,Time_SameDate2,EndTime_SameDate2,AgeInWeeks
0,2017-08-02 13:55:00,20.0,0.0,20.0,Nursing,,,,2017-08-02 14:15:00,2017-08-02,2017-08-02,2019-01-01 13:55:00,2019-01-01 14:15:00,0 days,2017-08-02 13:55:00,2017-08-02 14:15:00,0.0
1,2017-08-02 17:40:00,22.0,10.0,32.0,Nursing,,,,2017-08-02 18:12:00,2017-08-02,2017-08-02,2019-01-01 17:40:00,2019-01-01 18:12:00,0 days,2017-08-02 17:40:00,2017-08-02 18:12:00,0.0
2,2017-08-02 20:17:00,13.0,13.0,26.0,Nursing,,,,2017-08-02 20:43:00,2017-08-02,2017-08-02,2019-01-01 20:17:00,2019-01-01 20:43:00,0 days,2017-08-02 20:17:00,2017-08-02 20:43:00,0.0
3,2017-08-02 22:20:00,10.0,15.0,25.0,Nursing,,,,2017-08-02 22:45:00,2017-08-02,2017-08-02,2019-01-01 22:20:00,2019-01-01 22:45:00,0 days,2017-08-02 22:20:00,2017-08-02 22:45:00,0.0
4,2017-08-02 23:20:00,15.0,10.0,25.0,Nursing,205.0,6.0,0.0,2017-08-02 23:45:00,2017-08-02,2017-08-02,2019-01-01 23:20:00,2019-01-01 23:45:00,0 days,2017-08-02 23:20:00,2017-08-02 23:45:00,0.0
5,2017-08-03 02:45:00,29.0,25.0,54.0,Nursing,,,,2017-08-03 03:39:00,2017-08-03,2017-08-03,2019-01-01 02:45:00,2019-01-01 03:39:00,1 days,2017-08-02 02:45:00,2017-08-02 03:39:00,0.0
6,2017-08-03 04:45:00,14.0,12.0,26.0,Nursing,,,,2017-08-03 05:11:00,2017-08-03,2017-08-03,2019-01-01 04:45:00,2019-01-01 05:11:00,1 days,2017-08-02 04:45:00,2017-08-02 05:11:00,0.0
7,2017-08-03 05:50:00,0.0,15.0,15.0,Nursing,,,,2017-08-03 06:05:00,2017-08-03,2017-08-03,2019-01-01 05:50:00,2019-01-01 06:05:00,1 days,2017-08-02 05:50:00,2017-08-02 06:05:00,0.0
8,2017-08-03 09:00:00,0.0,5.0,5.0,Nursing,,,,2017-08-03 09:05:00,2017-08-03,2017-08-03,2019-01-01 09:00:00,2019-01-01 09:05:00,1 days,2017-08-02 09:00:00,2017-08-02 09:05:00,0.0
9,2017-08-03 11:21:00,14.0,17.0,31.0,Nursing,,,,2017-08-03 11:52:00,2017-08-03,2017-08-03,2019-01-01 11:21:00,2019-01-01 11:52:00,1 days,2017-08-02 11:21:00,2017-08-02 11:52:00,0.0
10,2017-08-03 13:07:00,14.0,28.0,42.0,Nursing,,,,2017-08-03 13:49:00,2017-08-03,2017-08-03,2019-01-01 13:07:00,2019-01-01 13:49:00,1 days,2017-08-02 13:07:00,2017-08-02 13:49:00,0.0
11,2017-08-03 15:12:00,20.0,15.0,35.0,Nursing,,,,2017-08-03 15:47:00,2017-08-03,2017-08-03,2019-01-01 15:12:00,2019-01-01 15:47:00,1 days,2017-08-02 15:12:00,2017-08-02 15:47:00,0.0
