Time,LeftDuration,RightDuration,TotalDuration,Resource
"10/1/17, 4:50 AM",135,,135,Sleep
"10/1/17, 7:36 AM",41,,41,Sleep
"10/1/17, 9:28 AM",81,,81,Sleep
"10/1/17, 12:44 PM",5,,5,Sleep
"10/1/17, 12:54 PM",17,,17,Sleep
"10/1/17, 2:58 PM",55,,55,Sleep
"10/1/17, 4:32 PM",8,,8,Sleep
"10/1/17, 5:18 PM",7,,7,Sleep
"10/1/17, 8:15 PM",390,,390,Sleep
"10/2/17, 3:00 AM",152,,152,Sleep
"10/2/17, 6:15 AM",60,,60,Sleep
"10/2/17, 8:50 AM",31,,31,Sleep
"10/2/17, 10:46 AM",16,,16,Sleep
"10/2/17, 12:08 PM",62,,62,Sleep
"10/2/17, 2:35 PM",19,,19,Sleep
"10/2/17, 4:00 PM",23,,23,Sleep
"10/2/17, 7:07 PM",17,,17,Sleep
"10/2/17, 8:26 PM",269,,269,Sleep
"10/3/17, 1:15 AM",135,,135,Sleep
"10/3/17, 4:00 AM",120,,120,Sleep
"10/3/17, 6:49 AM",47,,47,Sleep
"10/3/17, 8:27 AM",26,,26,Sleep
"10/3/17, 11:27 AM",28,,28,Sleep
"10/3/17, 12:57 PM",10,,10,Sleep
"10/3/17, 1:11 PM",24,,24,Sleep
"10/3/17, 2:27 PM",6,,6,Sleep
"10/3/17, 3:02 PM",17,,17,Sleep
"10/3/17, 3:20 PM",53,,53,Sleep
"10/3/17, 5:06 PM",51,,51,Sleep
"10/3/17, 8:10 PM",16,,16,Sleep
"10/3/17, 8:43 PM",343,,343,Sleep
"10/4/17, 2:46 AM",219,,219,Sleep
"10/4/17, 7:20 AM",31,,31,Sleep
"10/4/17, 9:05 AM",33,,33,Sleep
"10/4/17, 10:45 AM",21,,21,Sleep
"10/4/17, 11:16 AM",45,,45,Sleep
"10/4/17, 1:04 PM",21,,21,Sleep
"10/4/17, 1:45 PM",6,,6,Sleep
"10/4/17, 2:54 PM",56,,56,Sleep
"10/4/17, 5:24 PM",26,,26,Sleep
"10/4/17, 7:33 PM",21,,21,Sleep
"10/4/17, 8:46 PM",328,,328,Sleep
"10/5/17, 2:32 AM",217,,217,Sleep
"10/5/17, 7:17 AM",35,,35,Sleep
"10/5/17, 9:12 AM",34,,34,Sleep
"10/5/17, 11:07 AM",22,,22,Sleep
"10/5/17, 1:19 PM",24,,24,Sleep
"10/5/17, 2:54 PM",12,,12,Sleep
"10/5/17, 3:20 PM",20,,20,Sleep
"10/5/17, 5:39 PM",15,,15,Sleep
"10/5/17, 7:35 PM",40,,40,Sleep
"10/5/17, 8:36 PM",396,,396,Sleep
"10/6/17, 3:29 AM",112,,112,Sleep
"10/6/17, 5:50 AM",99,,99,Sleep
"10/6/17, 8:45 AM",3,,3,Sleep
"10/6/17, 9:29 AM",23,,23,Sleep
"10/6/17, 11:23 AM",32,,32,Sleep
"10/6/17, 1:26 PM",44,,44,Sleep
"10/6/17, 4:03 PM",25,,25,Sleep
"10/6/17, 5:50 PM",24,,24,Sleep
"10/6/17, 8:13 PM",17,,17,Sleep
"10/6/17, 8:55 PM",3,,3,Sleep
"10/6/17, 9:07 PM",204,,204,Sleep
"10/7/17, 1:01 AM",328,,328,Sleep
"10/7/17, 8:10 AM",32,,32,Sleep
"10/7/17, 9:46 AM",64,,64,Sleep
"10/7/17, 12:14 PM",25,,25,Sleep
"10/7/17, 2:53 PM",4,,4,Sleep
"10/7/17, 3:21 PM",4,,4,Sleep
"10/7/17, 4:45 PM",45,,45,Sleep
"10/7/17, 7:28 PM",21,,21,Sleep
"10/7/17, 8:08 PM",2,,2,Sleep
"10/7/17, 8:26 PM",474,,474,Sleep
"10/8/17, 5:00 AM",135,,135,Sleep
"10/8/17, 7:53 AM",44,,44,Sleep
"10/8/17, 11:16 AM",4,,4,Sleep
"10/8/17, 1:13 PM",62,,62,Sleep
"10/8/17, 3:40 PM",39,,39,Sleep
"10/8/17, 6:07 PM",18,,18,Sleep
"10/8/17, 7:56 PM",8,,8,Sleep
"10/8/17, 8:17 PM",346,,346,Sleep
"10/9/17, 2:17 AM",224,,224,Sleep
"10/9/17, 6:34 AM",45,,45,Sleep
"10/9/17, 8:37 AM",1,,1,Sleep
"10/9/17, 9:43 AM",30,,30,Sleep
"10/9/17, 12:20 PM",20,,20,Sleep
"10/9/17, 1:58 PM",93,,93,Sleep
"10/9/17, 4:33 PM",61,,61,Sleep
"10/9/17, 8:32 PM",378,,378,Sleep
"10/10/17, 3:09 AM",121,,121,Sleep
"10/10/17, 5:42 AM",20,,20,Sleep
"10/10/17, 6:35 AM",57,,57,Sleep
"10/10/17, 9:03 AM",31,,31,Sleep
"10/10/17, 11:17 AM",15,,15,Sleep
"10/10/17, 1:32 PM",32,,32,Sleep
"10/10/17, 3:35 PM",25,,25,Sleep
"10/10/17, 5:40 PM",13,,13,Sleep
"10/10/17, 7:48 PM",28,,28,Sleep
"10/10/17, 8:40 PM",295,,295,Sleep
"10/11/17, 1:59 AM",130,,130,Sleep
"10/11/17, 4:33 AM",64,,64,Sleep
"10/11/17, 6:13 AM",116,,116,Sleep
"10/11/17, 9:25 AM",40,,40,Sleep
"10/11/17, 11:18 AM",41,,41,Sleep
"10/11/17, 1:10 PM",52,,52,Sleep
"10/11/17, 3:30 PM",40,,40,Sleep
"10/11/17, 5:40 PM",10,,10,Sleep
"10/11/17, 7:55 PM",18,,18,Sleep
"10/11/17, 8:32 PM",468,,468,Sleep
"10/12/17, 4:45 AM",148,,148,Sleep
"10/12/17, 8:39 AM",44,,44,Sleep
"10/12/17, 10:37 AM",7,,7,Sleep
"10/12/17, 10:49 AM",20,,20,Sleep
"10/12/17, 12:43 PM",23,,23,Sleep
"10/12/17, 2:00 PM",29,,29,Sleep
"10/12/17, 4:55 PM",31,,31,Sleep
"10/12/17, 7:51 PM",18,,18,Sleep
"10/12/17, 9:12 PM",496,,496,Sleep
"10/13/17, 5:43 AM",23,,23,Sleep
"10/13/17, 6:28 AM",124,,124,Sleep
"10/13/17, 10:00 AM",28,,28,Sleep
"10/13/17, 11:56 AM",23,,23,Sleep
"10/13/17, 1:44 PM",20,,20,Sleep
"10/13/17, 2:13 PM",1,,1,Sleep
"10/13/17, 2:18 PM",16,,16,Sleep
"10/13/17, 4:25 PM",71,,71,Sleep
"10/13/17, 7:41 PM",19,,19,Sleep
"10/13/17, 8:35 PM",473,,473,Sleep
"10/14/17, 4:48 AM",9,,9,Sleep
"10/14/17, 5:20 AM",135,,135,Sleep
"10/14/17, 9:38 AM",26,,26,Sleep
"10/14/17, 11:42 AM",22,,22,Sleep
"10/14/17, 1:53 PM",25,,25,Sleep
"10/14/17, 2:21 PM",7,,7,Sleep
"10/14/17, 2:29 PM",29,,29,Sleep
"10/14/17, 5:29 PM",26,,26,Sleep
"10/14/17, 8:03 PM",4,,4,Sleep
"10/14/17, 8:24 PM",282,,282,Sleep
"10/15/17, 1:33 AM",253,,253,Sleep
"10/15/17, 6:19 AM",95,,95,Sleep
"10/15/17, 9:28 AM",77,,77,Sleep
"10/15/17, 11:55 AM",20,,20,Sleep
"10/15/17, 1:08 PM",12,,12,Sleep
"10/15/17, 2:00 PM",13,,13,Sleep
"10/15/17, 2:50 PM",19,,19,Sleep
"10/15/17, 3:49 PM",31,,31,Sleep
"10/15/17, 5:34 PM",15,,15,Sleep
"10/15/17, 8:50 PM",303,,303,Sleep
"10/16/17, 2:13 AM",147,,147,Sleep
"10/16/17, 5:10 AM",130,,130,Sleep
"10/16/17, 8:54 AM",23,,23,Sleep
"10/16/17, 10:34 AM",60,,60,Sleep
"10/16/17, 12:53 PM",101,,101,Sleep
"10/16/17, 3:42 PM",15,,15,Sleep
"10/16/17, 6:12 PM",3,,3,Sleep
"10/16/17, 6:18 PM",25,,25,Sleep
"10/16/17, 8:42 PM",21,,21,Sleep
"10/16/17, 9:20 PM",329,,329,Sleep
"10/17/17, 3:10 AM",94,,94,Sleep
"10/17/17, 5:11 AM",65,,65,Sleep
"10/17/17, 6:34 AM",52,,52,Sleep
"10/17/17, 9:36 AM",25,,25,Sleep
"10/17/17, 12:00 PM",31,,31,Sleep
"10/17/17, 1:38 PM",26,,26,Sleep
"10/17/17, 4:16 PM",20,,20,Sleep
"10/17/17, 5:50 PM",44,,44,Sleep
"10/17/17, 8:00 PM",380,,380,Sleep
"10/18/17, 2:45 AM",183,,183,Sleep
"10/18/17, 6:22 AM",64,,64,Sleep
"10/18/17, 8:40 AM",24,,24,Sleep
"10/18/17, 10:46 AM",24,,24,Sleep
"10/18/17, 12:54 PM",15,,15,Sleep
"10/18/17, 1:30 PM",16,,16,Sleep
"10/18/17, 3:30 PM",30,,30,Sleep
"10/18/17, 6:05 PM",15,,15,Sleep
"10/18/17, 8:00 PM",21,,21,Sleep
"10/18/17, 9:32 PM",396,,396,Sleep
"10/19/17, 4:30 AM",110,,110,Sleep
"10/19/17, 6:50 AM",114,,114,Sleep
"10/19/17, 10:06 AM",25,,25,Sleep
