Time,LeftDuration,RightDuration,TotalDuration,Resource
"8/1/17, 8:00 AM",20,0,50,Eat
"8/1/17, 12:00 PM",22,10,50,Eat
"8/1/17, 7:00 PM",13,13,50,Eat
"8/1/17, 12:00 AM",,,470,Sleep
"8/1/17, 9:00 AM",,,170,Work
"8/1/17, 1:00 PM",,,350,Work
"8/1/17, 8:00 PM",,,230,Work
"7/31/17, 8:00 AM",20,0,50,Eat
"7/31/17, 12:00 PM",22,10,50,Eat
"7/31/17, 7:00 PM",13,13,50,Eat
"7/31/17, 12:00 AM",,,470,Sleep
"7/31/17, 9:00 AM",,,170,Work
"7/31/17, 1:00 PM",,,350,Work
"7/31/17, 8:00 PM",,,230,Work
"7/30/17, 8:00 AM",20,0,50,Eat
"7/30/17, 12:00 PM",22,10,50,Eat
"7/30/17, 7:00 PM",13,13,50,Eat
"7/30/17, 12:00 AM",,,470,Sleep
"7/30/17, 9:00 AM",,,170,Work
"7/30/17, 1:00 PM",,,350,Work
"7/30/17, 8:00 PM",,,230,Work
"7/29/17, 8:00 AM",20,0,50,Eat
"7/29/17, 12:00 PM",22,10,50,Eat
"7/29/17, 7:00 PM",13,13,50,Eat
"7/29/17, 12:00 AM",,,470,Sleep
"7/29/17, 9:00 AM",,,170,Work
"7/29/17, 1:00 PM",,,350,Work
"7/29/17, 8:00 PM",,,230,Work
"7/28/17, 8:00 AM",20,0,50,Eat
"7/28/17, 12:00 PM",22,10,50,Eat
"7/28/17, 7:00 PM",13,13,50,Eat
"7/28/17, 12:00 AM",,,470,Sleep
"7/28/17, 9:00 AM",,,170,Work
"7/28/17, 1:00 PM",,,350,Work
"7/28/17, 8:00 PM",,,230,Work
"7/27/17, 8:00 AM",20,0,50,Eat
"7/27/17, 12:00 PM",22,10,50,Eat
"7/27/17, 7:00 PM",13,13,50,Eat
"7/27/17, 12:00 AM",,,470,Sleep
"7/27/17, 9:00 AM",,,170,Work
"7/27/17, 1:00 PM",,,350,Work
"7/27/17, 8:00 PM",,,230,Work
"7/26/17, 8:00 AM",20,0,50,Eat
"7/26/17, 12:00 PM",22,10,50,Eat
"7/26/17, 7:00 PM",13,13,50,Eat
"7/26/17, 12:00 AM",,,470,Sleep
"7/26/17, 9:00 AM",,,170,Work
"7/26/17, 1:00 PM",,,350,Work
"7/26/17, 8:00 PM",,,230,Work
